ID,sex,age,region,politica,region_custom,age_gen,z1,z2
0,Masculino,27,Biobío,2,Region,Millennial,0.57210815,0.215063
1,Masculino,43,Metropolitana de Santiago,6,Capital City,Generation X,0.6333347,0.26499948
2,Femenino,39,Metropolitana de Santiago,3,Capital City,Generation X,0.49994475,0.46251544
3,Masculino,34,Metropolitana de Santiago,6,Capital City,Millennial,0.15229653,0.38233054
5,Femenino,37,Metropolitana de Santiago,0,Capital City,Millennial,0.28838518,0.26982042
6,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.71910655,0.29132003
7,Masculino,27,Metropolitana de Santiago,2,Capital City,Millennial,0.26469383,0.42390978
8,Masculino,30,Metropolitana de Santiago,7,Capital City,Millennial,0.77009034,0.4293614
9,Masculino,38,Metropolitana de Santiago,9,Capital City,Millennial,0.83591944,0.23685244
10,Femenino,35,Metropolitana de Santiago,7,Capital City,Millennial,0.87362605,0.41106522
11,Femenino,24,Metropolitana de Santiago,3,Capital City,Generation Z,0.34961438,0.32192785
12,Masculino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.3144279,0.28055927
13,Masculino,29,Metropolitana de Santiago,1,Capital City,Millennial,0.30865803,0.3192054
14,Masculino,33,Metropolitana de Santiago,4,Capital City,Millennial,0.570135,0.37717766
15,Masculino,24,Metropolitana de Santiago,6,Capital City,Generation Z,0.70171195,0.5134265
17,Masculino,41,Metropolitana de Santiago,2,Capital City,Generation X,0.17646603,0.39804238
18,Masculino,32,Metropolitana de Santiago,2,Capital City,Millennial,0.5346749,0.50052345
19,Masculino,38,Metropolitana de Santiago,2,Capital City,Millennial,0.33830142,0.2847673
20,Femenino,49,Biobío,3,Region,Generation X,0.33761203,0.2772763
21,Femenino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.68422914,0.74107534
22,Masculino,41,Biobío,4,Region,Generation X,0.47921562,0.51102895
23,Masculino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.33254007,0.43465284
24,Masculino,28,Metropolitana de Santiago,3,Capital City,Millennial,0.40365034,0.2663906
25,Masculino,36,Metropolitana de Santiago,8,Capital City,Millennial,0.5649676,0.35514432
26,Masculino,29,Metropolitana de Santiago,7,Capital City,Millennial,0.721152,0.38416448
27,Masculino,32,Biobío,10,Region,Millennial,0.48534834,0.33979747
28,Masculino,28,Metropolitana de Santiago,6,Capital City,Millennial,0.44509545,0.38539207
29,Femenino,28,Biobío,4,Region,Millennial,0.27144617,0.6210902
30,Masculino,30,Los Lagos,6,Region,Millennial,0.43886796,0.3411106
31,Masculino,29,Metropolitana de Santiago,0,Capital City,Millennial,0.28720263,0.28331903
32,Femenino,30,Coquimbo,4,Region,Millennial,0.35881177,0.26005664
33,Masculino,29,Metropolitana de Santiago,3,Capital City,Millennial,0.5782816,0.31917244
34,Femenino,27,O'Higgins,4,Region,Millennial,0.26077896,0.20676789
35,Masculino,26,Biobío,3,Region,Millennial,0.37350273,0.22469279
36,Masculino,43,Metropolitana de Santiago,2,Capital City,Generation X,0.51418865,0.40080836
37,Femenino,41,Metropolitana de Santiago,3,Capital City,Generation X,0.35463524,0.25929683
38,Masculino,46,Metropolitana de Santiago,3,Capital City,Generation X,0.51695544,0.35627663
39,Femenino,29,Valparaíso,2,Region,Millennial,0.31178024,0.15071124
40,Femenino,42,Metropolitana de Santiago,3,Capital City,Generation X,0.48630357,0.37900808
41,Masculino,29,Metropolitana de Santiago,3,Capital City,Millennial,0.3590554,0.27525404
42,Femenino,49,Metropolitana de Santiago,2,Capital City,Generation X,0.35794944,0.330668
43,Masculino,33,Metropolitana de Santiago,1,Capital City,Millennial,0.23121141,0.3479916
44,Femenino,38,Metropolitana de Santiago,1,Capital City,Millennial,0.27231327,0.29660922
45,Masculino,40,Metropolitana de Santiago,10,Capital City,Generation X,0.41924098,0.5184951
46,Femenino,43,Metropolitana de Santiago,3,Capital City,Generation X,0.3592848,0.68001384
47,Masculino,28,Biobío,6,Region,Millennial,0.84765446,0.25347945
48,Masculino,25,Valparaíso,7,Region,Generation Z,0.7601549,0.5331088
49,Masculino,50,Metropolitana de Santiago,3,Capital City,Generation X,0.20632522,0.24843585
50,Masculino,26,Metropolitana de Santiago,6,Capital City,Millennial,0.84576815,0.43432537
51,Masculino,28,Valparaíso,2,Region,Millennial,0.48992914,0.26547825
52,Masculino,33,Metropolitana de Santiago,4,Capital City,Millennial,0.49203977,0.38542902
53,Femenino,34,Metropolitana de Santiago,2,Capital City,Millennial,0.5845601,0.263768
54,Femenino,52,Biobío,3,Region,Baby Boomer,0.29906046,0.22726797
55,Masculino,33,Metropolitana de Santiago,1,Capital City,Millennial,0.2633749,0.56734484
57,Masculino,27,Metropolitana de Santiago,8,Capital City,Millennial,0.7515221,0.35636786
58,Masculino,37,Metropolitana de Santiago,3,Capital City,Millennial,0.57172036,0.35913268
59,Masculino,37,Araucanía,2,Region,Millennial,0.28666183,0.3327107
60,Femenino,30,Araucanía,2,Region,Millennial,0.23369794,0.3078073
62,Masculino,26,Metropolitana de Santiago,4,Capital City,Millennial,0.2359056,0.29353836
63,Masculino,36,Metropolitana de Santiago,2,Capital City,Millennial,0.36566854,0.45034721
64,Masculino,25,Metropolitana de Santiago,4,Capital City,Generation Z,0.5746094,0.46011975
65,Masculino,36,Metropolitana de Santiago,3,Capital City,Millennial,0.28089342,0.26065576
66,Masculino,26,Los Ríos,4,Region,Millennial,0.3374622,0.34068653
67,Femenino,23,Metropolitana de Santiago,6,Capital City,Generation Z,0.58498377,0.2576452
68,Masculino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.24040134,0.52780503
69,Masculino,28,Valparaíso,3,Region,Millennial,0.43425605,0.3266931
70,Femenino,35,Valparaíso,4,Region,Millennial,0.7060021,0.3496944
71,Masculino,31,Metropolitana de Santiago,6,Capital City,Millennial,0.6112694,0.3122217
72,Femenino,26,Metropolitana de Santiago,8,Capital City,Millennial,0.85595113,0.2718803
73,Masculino,30,Metropolitana de Santiago,7,Capital City,Millennial,0.5110764,0.33924744
74,Femenino,27,Biobío,8,Region,Millennial,0.6568714,0.30983016
75,Masculino,38,Biobío,4,Region,Millennial,0.41798514,0.357025
76,Masculino,25,Metropolitana de Santiago,4,Capital City,Generation Z,0.4626696,0.5636709
77,Masculino,26,Biobío,2,Region,Millennial,0.31568253,0.2353914
79,Masculino,31,Metropolitana de Santiago,8,Capital City,Millennial,0.48888102,0.22555028
80,Masculino,33,Metropolitana de Santiago,2,Capital City,Millennial,0.3052343,0.35785493
81,Masculino,49,Valparaíso,4,Region,Generation X,0.34453952,0.20095964
82,Femenino,28,Metropolitana de Santiago,1,Capital City,Millennial,0.4175595,0.29305968
83,Masculino,42,Metropolitana de Santiago,4,Capital City,Generation X,0.3885184,0.6138563
84,Femenino,55,Metropolitana de Santiago,10,Capital City,Baby Boomer,0.42026523,0.20773815
85,Masculino,52,O'Higgins,3,Region,Baby Boomer,0.6895082,0.20467351
86,Femenino,34,Metropolitana de Santiago,3,Capital City,Millennial,0.39537176,0.31790763
87,Masculino,29,Metropolitana de Santiago,6,Capital City,Millennial,0.47011924,0.32086968
89,Masculino,32,Biobío,2,Region,Millennial,0.23938502,0.528166
90,Masculino,26,Los Lagos,10,Region,Millennial,0.62111753,0.25043085
91,Masculino,37,Los Lagos,10,Region,Millennial,0.7932602,0.28746396
92,Femenino,22,Metropolitana de Santiago,0,Capital City,Generation Z,0.34747735,0.65254825
93,Masculino,34,Metropolitana de Santiago,3,Capital City,Millennial,0.35098085,0.24858953
96,Masculino,45,Metropolitana de Santiago,3,Capital City,Generation X,0.42857122,0.34666896
97,Femenino,55,O'Higgins,2,Region,Baby Boomer,0.37544277,0.28284526
98,Masculino,30,Maule,2,Region,Millennial,0.42658055,0.17482671
99,Masculino,36,Metropolitana de Santiago,0,Capital City,Millennial,0.19289112,0.42375734
101,Masculino,21,Metropolitana de Santiago,0,Capital City,Generation Z,0.28124774,0.29303345
102,Masculino,37,Valparaíso,3,Region,Millennial,0.519989,0.18003714
103,Femenino,22,Metropolitana de Santiago,4,Capital City,Generation Z,0.2661036,0.6183027
104,Masculino,22,Metropolitana de Santiago,3,Capital City,Generation Z,0.27998105,0.3264848
105,Masculino,29,Metropolitana de Santiago,2,Capital City,Millennial,0.43075243,0.32401872
106,Femenino,37,Metropolitana de Santiago,3,Capital City,Millennial,0.5624486,0.2476341
107,Masculino,41,Metropolitana de Santiago,8,Capital City,Generation X,0.9710691,0.4590269
108,Masculino,19,Metropolitana de Santiago,6,Capital City,Generation Z,0.29735965,0.25552344
109,Masculino,20,Metropolitana de Santiago,4,Capital City,Generation Z,0.59183204,0.47562277
110,Masculino,29,O'Higgins,4,Region,Millennial,0.25521237,0.25067022
111,Masculino,37,Metropolitana de Santiago,1,Capital City,Millennial,0.4953603,0.29737502
112,Masculino,39,Metropolitana de Santiago,3,Capital City,Generation X,0.2762066,0.28453144
113,Masculino,28,Biobío,3,Region,Millennial,0.28096712,0.30883634
114,Masculino,22,Araucanía,1,Region,Generation Z,0.38902187,0.33963028
115,Masculino,55,Metropolitana de Santiago,8,Capital City,Baby Boomer,0.6755831,0.26433223
116,Masculino,27,Metropolitana de Santiago,3,Capital City,Millennial,0.40846798,0.24718282
117,Masculino,29,O'Higgins,4,Region,Millennial,0.29884195,0.3751235
118,Femenino,38,Metropolitana de Santiago,2,Capital City,Millennial,0.33674148,0.30750293
119,Femenino,56,Maule,0,Region,Baby Boomer,0.2714129,0.30488762
120,Femenino,27,Metropolitana de Santiago,8,Capital City,Millennial,0.89303666,0.29942137
121,Masculino,35,Metropolitana de Santiago,3,Capital City,Millennial,0.7600764,0.2848919
122,Masculino,22,Metropolitana de Santiago,1,Capital City,Generation Z,0.30017874,0.4102869
123,Masculino,26,Valparaíso,4,Region,Millennial,0.41802162,0.31790254
124,Masculino,25,Metropolitana de Santiago,7,Capital City,Generation Z,0.8603426,0.3804649
125,Masculino,34,Metropolitana de Santiago,1,Capital City,Millennial,0.31418142,0.21411479
126,Masculino,36,Metropolitana de Santiago,6,Capital City,Millennial,0.6723974,0.38035715
127,Masculino,25,Biobío,6,Region,Generation Z,0.40962514,0.20622323
128,Femenino,28,Metropolitana de Santiago,4,Capital City,Millennial,0.33181185,0.41801003
129,Femenino,27,Metropolitana de Santiago,0,Capital City,Millennial,0.36475623,0.29422078
130,Masculino,27,O'Higgins,9,Region,Millennial,0.19462188,0.54069537
131,Femenino,25,Metropolitana de Santiago,1,Capital City,Generation Z,0.5005226,0.2619786
132,Femenino,25,Valparaíso,2,Region,Generation Z,0.39830154,0.33022058
133,Masculino,36,Metropolitana de Santiago,3,Capital City,Millennial,0.69509983,0.31664613
134,Masculino,56,Metropolitana de Santiago,8,Capital City,Baby Boomer,0.8847685,0.2879499
135,Masculino,57,Biobío,0,Region,Baby Boomer,0.40250424,0.30616236
136,Femenino,26,Metropolitana de Santiago,4,Capital City,Millennial,0.3778603,0.28923172
137,Masculino,30,Metropolitana de Santiago,4,Capital City,Millennial,0.52660596,0.33125576
138,Masculino,33,Metropolitana de Santiago,4,Capital City,Millennial,0.24996433,0.45259
140,Femenino,32,Metropolitana de Santiago,1,Capital City,Millennial,0.6214726,0.68106157
141,Masculino,23,Valparaíso,1,Region,Generation Z,0.26344487,0.26420084
143,Femenino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.37961742,0.29988652
144,Femenino,44,Metropolitana de Santiago,2,Capital City,Generation X,0.3352543,0.31888878
145,Masculino,33,Metropolitana de Santiago,3,Capital City,Millennial,0.3342021,0.36375752
146,Femenino,45,Coquimbo,4,Region,Generation X,0.29241276,0.26692387
147,Masculino,34,Metropolitana de Santiago,4,Capital City,Millennial,0.26630855,0.2921421
148,Masculino,30,Metropolitana de Santiago,1,Capital City,Millennial,0.3863819,0.39299572
149,Masculino,47,Metropolitana de Santiago,7,Capital City,Generation X,0.8349874,0.18261363
150,Masculino,31,Metropolitana de Santiago,4,Capital City,Millennial,0.63247645,0.37385398
151,Masculino,39,Metropolitana de Santiago,2,Capital City,Generation X,0.5800779,0.28458667
152,Femenino,36,Metropolitana de Santiago,3,Capital City,Millennial,0.3724062,0.306117
153,Masculino,23,Metropolitana de Santiago,4,Capital City,Generation Z,0.4537055,0.31742233
154,Masculino,25,Metropolitana de Santiago,4,Capital City,Generation Z,0.48328862,0.22528636
155,Masculino,47,Metropolitana de Santiago,4,Capital City,Generation X,0.43386298,0.38159597
156,Masculino,55,Metropolitana de Santiago,2,Capital City,Baby Boomer,0.45345214,0.3600556
157,Masculino,52,Metropolitana de Santiago,9,Capital City,Baby Boomer,0.87503535,0.21799643
158,Masculino,32,Coquimbo,6,Region,Millennial,0.6311877,0.35066673
159,Masculino,28,Metropolitana de Santiago,1,Capital City,Millennial,0.15657727,0.20428613
160,Femenino,23,Metropolitana de Santiago,6,Capital City,Generation Z,0.67497414,0.3488915
161,Femenino,25,Valparaíso,1,Region,Generation Z,0.21032014,0.32490927
162,Masculino,32,Metropolitana de Santiago,0,Capital City,Millennial,0.33735237,0.31566286
163,Masculino,40,Metropolitana de Santiago,2,Capital City,Generation X,0.3908318,0.32698756
164,Masculino,31,Metropolitana de Santiago,1,Capital City,Millennial,0.26402053,0.3927937
165,Masculino,38,Metropolitana de Santiago,1,Capital City,Millennial,0.344299,0.29320988
166,Masculino,48,Metropolitana de Santiago,7,Capital City,Generation X,0.6760614,0.2609655
167,Femenino,34,Los Lagos,7,Region,Millennial,0.2986796,0.42325428
168,Masculino,37,Valparaíso,4,Region,Millennial,0.26568618,0.31435308
169,Masculino,38,Metropolitana de Santiago,4,Capital City,Millennial,0.5939482,0.23730311
170,Masculino,29,Los Lagos,2,Region,Millennial,0.5058119,0.2942972
171,Masculino,31,Metropolitana de Santiago,2,Capital City,Millennial,0.36660576,0.29131615
172,Masculino,26,Valparaíso,4,Region,Millennial,0.26878986,0.5882455
173,Masculino,34,Metropolitana de Santiago,6,Capital City,Millennial,0.6123763,0.6365432
174,Masculino,30,Metropolitana de Santiago,8,Capital City,Millennial,0.79804766,0.34020945
175,Masculino,33,Metropolitana de Santiago,2,Capital City,Millennial,0.26817584,0.31944415
176,Masculino,33,Metropolitana de Santiago,3,Capital City,Millennial,0.33648407,0.3063014
177,Masculino,41,Valparaíso,2,Region,Generation X,0.2853271,0.28715405
178,Masculino,40,Metropolitana de Santiago,7,Capital City,Generation X,0.6613989,0.29613835
179,Masculino,35,Metropolitana de Santiago,8,Capital City,Millennial,0.6304492,0.26744074
180,Masculino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.31934988,0.5966711
181,Masculino,37,Biobío,3,Region,Millennial,0.2691282,0.7623673
182,Masculino,48,Los Lagos,6,Region,Generation X,0.41953453,0.30365306
183,Femenino,35,Biobío,10,Region,Millennial,0.7881313,0.18313584
184,Masculino,36,Metropolitana de Santiago,2,Capital City,Millennial,0.30717677,0.26011753
185,Masculino,28,Metropolitana de Santiago,2,Capital City,Millennial,0.3901291,0.30667537
186,Masculino,27,Metropolitana de Santiago,7,Capital City,Millennial,0.75872356,0.71905047
187,Femenino,22,Atacama,7,Region,Generation Z,0.3981183,0.46970204
188,Femenino,31,Valparaíso,2,Region,Millennial,0.22678946,0.27137533
189,Masculino,29,Metropolitana de Santiago,2,Capital City,Millennial,0.24124601,0.48362485
190,Femenino,42,Metropolitana de Santiago,0,Capital City,Generation X,0.30645248,0.49865383
191,Masculino,27,Metropolitana de Santiago,4,Capital City,Millennial,0.3507957,0.45991665
192,Masculino,41,Metropolitana de Santiago,4,Capital City,Generation X,0.7352024,0.24921966
193,Masculino,25,Metropolitana de Santiago,8,Capital City,Generation Z,0.8237313,0.62054384
194,Masculino,38,Metropolitana de Santiago,4,Capital City,Millennial,0.3731153,0.2767711
195,Masculino,27,Metropolitana de Santiago,4,Capital City,Millennial,0.2965733,0.31906837
196,Femenino,27,Metropolitana de Santiago,4,Capital City,Millennial,0.23804079,0.27971908
197,Femenino,37,Metropolitana de Santiago,3,Capital City,Millennial,0.55722904,0.4487969
198,Femenino,28,Metropolitana de Santiago,6,Capital City,Millennial,0.8739619,0.28387624
199,Masculino,31,Metropolitana de Santiago,8,Capital City,Millennial,0.631764,0.35152745
200,Masculino,30,Metropolitana de Santiago,2,Capital City,Millennial,0.3970044,0.3713597
202,Femenino,20,Biobío,4,Region,Generation Z,0.46846765,0.20291221
203,Femenino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.32760286,0.27197945
205,Masculino,30,Valparaíso,4,Region,Millennial,0.34153548,0.30376217
206,Femenino,45,Metropolitana de Santiago,3,Capital City,Generation X,0.32490242,0.32870123
207,Femenino,18,Metropolitana de Santiago,7,Capital City,Generation Z,0.7049689,0.39161727
208,Masculino,21,Metropolitana de Santiago,4,Capital City,Generation Z,0.1953377,0.29297093
209,Masculino,28,Metropolitana de Santiago,1,Capital City,Millennial,0.28066492,0.32312852
210,Femenino,31,Biobío,4,Region,Millennial,0.79394555,0.2342161
211,Femenino,28,Valparaíso,3,Region,Millennial,0.18310627,0.21927616
212,Masculino,24,Metropolitana de Santiago,7,Capital City,Generation Z,0.8180975,0.34912822
213,Masculino,40,Metropolitana de Santiago,6,Capital City,Generation X,0.5970562,0.2559752
214,Masculino,26,Metropolitana de Santiago,4,Capital City,Millennial,0.48906267,0.29477328
215,Masculino,37,Metropolitana de Santiago,1,Capital City,Millennial,0.25082284,0.3109884
216,Femenino,24,Araucanía,0,Region,Generation Z,0.3121454,0.24214211
217,Masculino,32,Araucanía,4,Region,Millennial,0.31012073,0.2809471
218,Masculino,43,Metropolitana de Santiago,4,Capital City,Generation X,0.8623264,0.30917257
219,Femenino,21,Maule,7,Region,Generation Z,0.5715161,0.19058715
220,Masculino,40,Araucanía,3,Region,Generation X,0.31103522,0.26300615
221,Masculino,28,Metropolitana de Santiago,8,Capital City,Millennial,0.62473595,0.40955323
222,Masculino,30,Metropolitana de Santiago,2,Capital City,Millennial,0.6154474,0.31013498
223,Femenino,38,Metropolitana de Santiago,6,Capital City,Millennial,0.7535111,0.21555206
224,Femenino,32,Metropolitana de Santiago,7,Capital City,Millennial,0.47593313,0.30266532
225,Femenino,26,Metropolitana de Santiago,7,Capital City,Millennial,0.62777567,0.4049085
226,Masculino,36,Metropolitana de Santiago,7,Capital City,Millennial,0.8025168,0.28769666
227,Masculino,31,Metropolitana de Santiago,2,Capital City,Millennial,0.7000749,0.2511172
228,Masculino,39,Ñuble,3,Region,Generation X,0.5055492,0.2064375
230,Masculino,25,Tarapacá,4,Region,Generation Z,0.6496755,0.4182105
231,Masculino,27,Metropolitana de Santiago,7,Capital City,Millennial,0.83765453,0.31263733
232,Masculino,50,Metropolitana de Santiago,7,Capital City,Generation X,0.7926114,0.2511028
233,Femenino,34,Valparaíso,6,Region,Millennial,0.7359562,0.418466
234,Masculino,35,Metropolitana de Santiago,3,Capital City,Millennial,0.41199714,0.47701037
235,Femenino,42,Metropolitana de Santiago,0,Capital City,Generation X,0.20771869,0.24437979
236,Femenino,24,Metropolitana de Santiago,7,Capital City,Generation Z,0.7563481,0.3679327
238,Masculino,23,Metropolitana de Santiago,7,Capital City,Generation Z,0.60890174,0.60250175
239,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.66140383,0.26940754
240,Femenino,57,Los Lagos,7,Region,Baby Boomer,0.49190027,0.2730765
241,Masculino,27,Metropolitana de Santiago,4,Capital City,Millennial,0.25218886,0.3806594
242,Masculino,24,Metropolitana de Santiago,6,Capital City,Generation Z,0.5964533,0.55935013
243,Femenino,27,Metropolitana de Santiago,7,Capital City,Millennial,0.58882505,0.561993
244,Masculino,30,Metropolitana de Santiago,6,Capital City,Millennial,0.69000477,0.21388996
246,Femenino,31,Ñuble,2,Region,Millennial,0.4775016,0.23949462
247,Masculino,31,Metropolitana de Santiago,6,Capital City,Millennial,0.45305783,0.21509449
248,Masculino,38,Metropolitana de Santiago,2,Capital City,Millennial,0.27026227,0.7397101
249,Masculino,32,Metropolitana de Santiago,6,Capital City,Millennial,0.8778738,0.39783657
250,Femenino,42,Metropolitana de Santiago,3,Capital City,Generation X,0.3500631,0.37502939
251,Femenino,24,Biobío,6,Region,Generation Z,0.6386341,0.21307917
252,Femenino,30,Metropolitana de Santiago,6,Capital City,Millennial,0.93076223,0.24650887
253,Femenino,48,Metropolitana de Santiago,3,Capital City,Generation X,0.53897,0.44773433
255,Masculino,35,Metropolitana de Santiago,3,Capital City,Millennial,0.37121978,0.2811117
256,Masculino,30,Metropolitana de Santiago,6,Capital City,Millennial,0.32733506,0.60949594
257,Masculino,30,Valparaíso,1,Region,Millennial,0.15092218,0.302681
258,Masculino,60,Los Lagos,7,Region,Baby Boomer,0.689865,0.37367693
259,Masculino,28,Metropolitana de Santiago,6,Capital City,Millennial,0.78128374,0.4222062
260,Masculino,38,Metropolitana de Santiago,4,Capital City,Millennial,0.36419493,0.2930121
261,Masculino,45,Metropolitana de Santiago,6,Capital City,Generation X,0.6736487,0.27707636
262,Masculino,25,Valparaíso,2,Region,Generation Z,0.29224223,0.3142986
263,Masculino,32,Magallanes,7,Region,Millennial,0.67672384,0.24855419
264,Masculino,35,Biobío,7,Region,Millennial,0.50305307,0.63356
265,Femenino,39,Metropolitana de Santiago,7,Capital City,Generation X,0.8701002,0.47371373
266,Femenino,25,Metropolitana de Santiago,0,Capital City,Generation Z,0.3013805,0.3646957
267,Femenino,47,Metropolitana de Santiago,1,Capital City,Generation X,0.5018959,0.24003267
268,Femenino,40,Metropolitana de Santiago,8,Capital City,Generation X,0.36123583,0.26753598
269,Masculino,58,Metropolitana de Santiago,2,Capital City,Baby Boomer,0.29560074,0.3634592
270,Femenino,41,Metropolitana de Santiago,8,Capital City,Generation X,0.7941782,0.21659571
271,Femenino,47,Valparaíso,3,Region,Generation X,0.2940814,0.32240337
272,Masculino,31,Metropolitana de Santiago,7,Capital City,Millennial,0.7552475,0.5719021
273,Masculino,29,Metropolitana de Santiago,7,Capital City,Millennial,0.46139905,0.28093138
274,Masculino,42,Atacama,3,Region,Generation X,0.27611,0.29616097
275,Masculino,45,Maule,3,Region,Generation X,0.3752538,0.38688377
276,Masculino,37,Metropolitana de Santiago,7,Capital City,Millennial,0.52474505,0.37356398
277,Masculino,33,Biobío,3,Region,Millennial,0.43320063,0.2302682
278,Masculino,33,Metropolitana de Santiago,6,Capital City,Millennial,0.63574874,0.5845144
279,Masculino,28,Metropolitana de Santiago,7,Capital City,Millennial,0.7376039,0.45814574
280,Masculino,37,Metropolitana de Santiago,7,Capital City,Millennial,0.8892494,0.28438178
281,Masculino,30,Metropolitana de Santiago,6,Capital City,Millennial,0.7520984,0.3214073
282,Femenino,47,Metropolitana de Santiago,2,Capital City,Generation X,0.5394692,0.3308277
283,Femenino,24,Metropolitana de Santiago,2,Capital City,Generation Z,0.3930452,0.23102804
284,Masculino,47,Metropolitana de Santiago,3,Capital City,Generation X,0.3749715,0.44505522
285,Masculino,37,Metropolitana de Santiago,2,Capital City,Millennial,0.42126498,0.23635218
286,Masculino,34,Metropolitana de Santiago,8,Capital City,Millennial,0.59590954,0.3633766
287,Femenino,28,Metropolitana de Santiago,3,Capital City,Millennial,0.26367208,0.2587695
288,Masculino,22,Metropolitana de Santiago,3,Capital City,Generation Z,0.8191604,0.5554423
289,Femenino,36,Metropolitana de Santiago,6,Capital City,Millennial,0.73457074,0.3644828
290,Masculino,20,Metropolitana de Santiago,4,Capital City,Generation Z,0.41068652,0.2857911
292,Masculino,58,Metropolitana de Santiago,2,Capital City,Baby Boomer,0.37767413,0.25193018
293,Femenino,36,Araucanía,3,Region,Millennial,0.26307213,0.26169556
295,Masculino,35,Metropolitana de Santiago,3,Capital City,Millennial,0.4164832,0.33185616
296,Masculino,43,Metropolitana de Santiago,2,Capital City,Generation X,0.46954247,0.50310785
297,Masculino,40,Metropolitana de Santiago,2,Capital City,Generation X,0.3093166,0.28648522
298,Masculino,29,Coquimbo,3,Region,Millennial,0.32035193,0.25982618
299,Masculino,21,Maule,1,Region,Generation Z,0.2635796,0.35053957
300,Masculino,45,Metropolitana de Santiago,1,Capital City,Generation X,0.4023591,0.35073373
301,Masculino,28,Coquimbo,6,Region,Millennial,0.36687863,0.31684312
302,Femenino,23,Metropolitana de Santiago,0,Capital City,Generation Z,0.34601173,0.29256928
303,Masculino,30,Metropolitana de Santiago,2,Capital City,Millennial,0.2327128,0.31985444
304,Femenino,59,Maule,10,Region,Baby Boomer,0.7798133,0.173326
305,Masculino,37,Metropolitana de Santiago,3,Capital City,Millennial,0.30920988,0.22978385
307,Masculino,30,Metropolitana de Santiago,6,Capital City,Millennial,0.5412155,0.21805002
308,Masculino,41,Coquimbo,3,Region,Generation X,0.2927351,0.28425688
309,Masculino,21,Metropolitana de Santiago,6,Capital City,Generation Z,0.8280837,0.4195694
310,Femenino,35,Metropolitana de Santiago,2,Capital City,Millennial,0.22320943,0.24734294
311,Masculino,33,Metropolitana de Santiago,2,Capital City,Millennial,0.36100075,0.31283095
312,Masculino,24,Metropolitana de Santiago,7,Capital City,Generation Z,0.42303774,0.50520974
313,Masculino,32,O'Higgins,2,Region,Millennial,0.22060448,0.4809334
314,Femenino,24,Biobío,3,Region,Generation Z,0.3404483,0.29276407
315,Masculino,34,Metropolitana de Santiago,7,Capital City,Millennial,0.53420657,0.37354773
316,Masculino,38,Los Lagos,6,Region,Millennial,0.52495515,0.23939818
317,Masculino,31,Maule,8,Region,Millennial,0.830764,0.7615308
318,Femenino,31,Araucanía,1,Region,Millennial,0.3443123,0.28464222
319,Masculino,41,Metropolitana de Santiago,4,Capital City,Generation X,0.6953089,0.228699
320,Masculino,26,Arica y Parinacota,2,Region,Millennial,0.25410086,0.45194674
321,Masculino,19,Metropolitana de Santiago,4,Capital City,Generation Z,0.44186935,0.2703605
322,Masculino,43,Metropolitana de Santiago,6,Capital City,Generation X,0.7888188,0.3712516
323,Masculino,22,Metropolitana de Santiago,0,Capital City,Generation Z,0.3745934,0.22166191
324,Masculino,25,Metropolitana de Santiago,7,Capital City,Generation Z,0.7551244,0.2746717
325,Masculino,32,Maule,7,Region,Millennial,0.7566719,0.23842846
326,Femenino,31,Biobío,3,Region,Millennial,0.41217902,0.3032732
327,Masculino,32,Metropolitana de Santiago,4,Capital City,Millennial,0.2609898,0.33527842
328,Masculino,23,Metropolitana de Santiago,4,Capital City,Generation Z,0.44087952,0.2807906
329,Masculino,35,Metropolitana de Santiago,9,Capital City,Millennial,0.6004158,0.3131469
330,Masculino,32,Metropolitana de Santiago,2,Capital City,Millennial,0.27906206,0.3270918
331,Masculino,34,Metropolitana de Santiago,3,Capital City,Millennial,0.40337756,0.20485023
332,Masculino,47,Metropolitana de Santiago,9,Capital City,Generation X,0.76182395,0.25743166
334,Masculino,28,Metropolitana de Santiago,6,Capital City,Millennial,0.47751805,0.33364424
336,Masculino,26,Metropolitana de Santiago,8,Capital City,Millennial,0.6832077,0.19515342
337,Masculino,31,Biobío,4,Region,Millennial,0.43549436,0.49805382
338,Masculino,28,Metropolitana de Santiago,8,Capital City,Millennial,0.38806427,0.25850037
339,Masculino,33,Los Ríos,2,Region,Millennial,0.31321493,0.28206068
340,Masculino,25,O'Higgins,6,Region,Generation Z,0.40386987,0.34571406
341,Masculino,37,Metropolitana de Santiago,6,Capital City,Millennial,0.7330355,0.35920247
342,Femenino,24,Biobío,3,Region,Generation Z,0.34958744,0.27969044
343,Femenino,39,Metropolitana de Santiago,2,Capital City,Generation X,0.32805514,0.33295918
344,Masculino,41,Metropolitana de Santiago,6,Capital City,Generation X,0.7570903,0.3648637
345,Masculino,23,Biobío,3,Region,Generation Z,0.25012967,0.2800157
346,Masculino,32,Ñuble,3,Region,Millennial,0.331594,0.32456735
