ID,sex,age,region,politica,region_custom,age_gen,z1,z2
10628,Femenino,27,Metropolitana de Santiago,3,Capital City,Millennial,0.25180158,0.31286755
10629,Masculino,38,Valparaíso,9,Region,Millennial,0.75270796,0.23351642
10630,Masculino,40,Metropolitana de Santiago,6,Capital City,Generation X,0.46232036,0.27616295
10631,Masculino,58,Metropolitana de Santiago,6,Capital City,Baby Boomer,0.5918028,0.22497131
10632,Masculino,45,Metropolitana de Santiago,6,Capital City,Generation X,0.79289776,0.22215977
10633,Masculino,29,Metropolitana de Santiago,8,Capital City,Millennial,0.5391169,0.19610238
10634,Femenino,29,Metropolitana de Santiago,3,Capital City,Millennial,0.47964194,0.22068225
10635,Masculino,31,Metropolitana de Santiago,8,Capital City,Millennial,0.8637015,0.6164501
10636,Masculino,41,Metropolitana de Santiago,8,Capital City,Generation X,0.804582,0.17128733
10637,Masculino,54,O'Higgins,7,Region,Baby Boomer,0.6893173,0.23359051
10638,Masculino,54,Metropolitana de Santiago,7,Capital City,Baby Boomer,0.49791166,0.48027948
10639,Masculino,42,Los Lagos,6,Region,Generation X,0.6310681,0.14034574
10640,Masculino,75,Los Lagos,10,Region,Silent Generation,0.8624142,0.30336085
10641,Masculino,65,Metropolitana de Santiago,9,Capital City,Baby Boomer,0.86058885,0.276267
10642,Masculino,38,Valparaíso,7,Region,Millennial,0.3702918,0.5449864
10643,Masculino,45,Magallanes,2,Region,Generation X,0.3155766,0.28384987
10644,Masculino,29,Metropolitana de Santiago,1,Capital City,Millennial,0.3410469,0.726586
10645,Masculino,39,Metropolitana de Santiago,3,Capital City,Generation X,0.28950536,0.37424874
10646,Masculino,36,Metropolitana de Santiago,9,Capital City,Millennial,0.6785048,0.33594286
10647,Femenino,35,Metropolitana de Santiago,8,Capital City,Millennial,0.75995356,0.3410089
10648,Masculino,43,Valparaíso,7,Region,Generation X,0.65054554,0.39769155
10649,Masculino,23,Valparaíso,6,Region,Generation Z,0.8495601,0.29188856
10650,Femenino,32,Metropolitana de Santiago,8,Capital City,Millennial,0.7457118,0.20790441
10651,Masculino,38,Los Ríos,6,Region,Millennial,0.6721632,0.2081663
10652,Masculino,32,Valparaíso,6,Region,Millennial,0.57367986,0.2267573
10653,Femenino,38,Metropolitana de Santiago,3,Capital City,Millennial,0.36000335,0.31675982
10654,Masculino,35,Antofagasta,4,Region,Millennial,0.54828596,0.36836743
10655,Masculino,43,Metropolitana de Santiago,4,Capital City,Generation X,0.51174355,0.35351887
10656,Masculino,47,Metropolitana de Santiago,2,Capital City,Generation X,0.21657798,0.3986427
10657,Masculino,25,Metropolitana de Santiago,1,Capital City,Generation Z,0.27751735,0.29225922
10658,Masculino,54,O'Higgins,0,Region,Baby Boomer,0.30353716,0.18010066
10659,Masculino,50,Metropolitana de Santiago,7,Capital City,Generation X,0.40241677,0.22988766
10660,Masculino,30,Metropolitana de Santiago,7,Capital City,Millennial,0.5000488,0.30356058
10661,Femenino,44,Metropolitana de Santiago,4,Capital City,Generation X,0.39121178,0.32164344
10662,Masculino,26,Metropolitana de Santiago,7,Capital City,Millennial,0.46995732,0.39277118
10663,Masculino,46,Metropolitana de Santiago,6,Capital City,Generation X,0.40823057,0.3477737
10664,Masculino,44,Metropolitana de Santiago,3,Capital City,Generation X,0.40009585,0.32565805
10665,Masculino,21,Metropolitana de Santiago,7,Capital City,Generation Z,0.5208765,0.28438115
10666,Femenino,34,Metropolitana de Santiago,6,Capital City,Millennial,0.6195027,0.26536998
10667,Masculino,39,Biobío,0,Region,Generation X,0.35612795,0.42526534
10668,Masculino,41,Los Lagos,6,Region,Generation X,0.50360984,0.233298
10669,Masculino,30,Metropolitana de Santiago,3,Capital City,Millennial,0.20899418,0.6414259
